epoch,train_loss,valid_loss,recon_mse,time
197,-3.126836061477661,-2.9798099994659424,0.02986614592373371,00:01
198,-3.1286630630493164,-2.9785187244415283,0.029490703716874123,00:01
199,-3.1311309337615967,-2.9936559200286865,0.028991589322686195,00:01
200,-3.143364191055298,-2.9886934757232666,0.02911335974931717,00:01
201,-3.1348562240600586,-3.008634328842163,0.02904188446700573,00:01
202,-3.1200501918792725,-3.000500440597534,0.02930106408894062,00:01
203,-3.1262214183807373,-2.9927070140838623,0.029292359948158264,00:01
204,-3.128206968307495,-2.995100498199463,0.02891945280134678,00:01
205,-3.127976655960083,-2.9968159198760986,0.029489360749721527,00:01
206,-3.1320180892944336,-2.9852075576782227,0.029467197135090828,00:01
207,-3.135054588317871,-3.0037310123443604,0.029825054109096527,00:01
208,-3.13393497467041,-2.9987075328826904,0.02902047149837017,00:01
209,-3.1347572803497314,-2.9927992820739746,0.02898254245519638,00:01
210,-3.140254259109497,-3.002265453338623,0.028756557032465935,00:01
211,-3.1387109756469727,-3.002324104309082,0.02852988801896572,00:01
212,-3.1443028450012207,-2.9998841285705566,0.029092608019709587,00:01
213,-3.1465091705322266,-2.999774694442749,0.028958478942513466,00:01
214,-3.1366682052612305,-3.000626564025879,0.02908560074865818,00:01
215,-3.1243622303009033,-2.998950719833374,0.02912161499261856,00:01
216,-3.1495769023895264,-2.998270034790039,0.02878323569893837,00:01
217,-3.1364965438842773,-3.0001416206359863,0.029096033424139023,00:01
218,-3.136098623275757,-3.001095771789551,0.02910665050148964,00:01
219,-3.147804021835327,-2.9876766204833984,0.029027901589870453,00:01
220,-3.137240171432495,-2.9913032054901123,0.029067212715744972,00:01
221,-3.1431832313537598,-2.984260320663452,0.029041564092040062,00:01
222,-3.1407933235168457,-2.9922118186950684,0.028868217021226883,00:01
223,-3.1522951126098633,-2.995292901992798,0.028475208207964897,00:01
224,-3.141397714614868,-2.9968531131744385,0.029055900871753693,00:01
225,-3.1525826454162598,-2.9970901012420654,0.028857139870524406,00:01
226,-3.141009569168091,-2.9962143898010254,0.02936776913702488,00:01
227,-3.1388893127441406,-2.996021032333374,0.0289466455578804,00:01
228,-3.149085283279419,-2.982046365737915,0.028987551108002663,00:01
229,-3.1484200954437256,-3.0000882148742676,0.02907521277666092,00:01
230,-3.14736270904541,-2.993309736251831,0.029271200299263,00:01
231,-3.1464028358459473,-2.9925615787506104,0.029308656230568886,00:01
232,-3.1483190059661865,-2.982602834701538,0.029498009011149406,00:01
233,-3.149425745010376,-2.9944682121276855,0.028754934668540955,00:01
234,-3.1602585315704346,-2.985822916030884,0.02884691022336483,00:01
